NAME                                    READY   STATUS     RESTARTS   AGE
payment-service-659659875-zpd8j         0/1     Pending            0             1s
payment-service-659659875-zpd8j         0/1     Pending            0             1s
payment-service-659659875-zpd8j         0/1     Init:0/2           0             1s
rewards-service-6b4b687997-pgcvd        0/1     Pending            0             0s
rewards-service-6b4b687997-pgcvd        0/1     Pending            0             0s
rewards-service-6b4b687997-pgcvd        0/1     Init:0/2           0             0s
admin-service-6b4c4896f-54xwg           0/1     Error              3 (30s ago)   6m2s
user-service-6c6fb6dfd5-w7kxd           0/1     PodInitializing    0             2s
admin-service-6b4c4896f-54xwg           0/1     Error              3 (30s ago)   6m2s
admin-service-6b4c4896f-54xwg           0/1     Error              3 (30s ago)   6m2s
admin-service-768bfccdbb-tjg8k          0/1     Pending            0             0s
admin-service-768bfccdbb-tjg8k          0/1     Pending            0             0s
admin-service-768bfccdbb-tjg8k          0/1     Init:0/1           0             0s
payment-service-659659875-zpd8j         0/1     Init:0/2           0             2s
rewards-service-6b4b687997-pgcvd        0/1     Init:1/2           0             1s
admin-service-768bfccdbb-tjg8k          0/1     Init:0/1           0             1s
payment-service-659659875-zpd8j         0/1     Init:1/2           0             3s
rewards-service-6b4b687997-pgcvd        0/1     PodInitializing    0             2s
user-service-6c6fb6dfd5-w7kxd           0/1     Running            0             4s
admin-service-768bfccdbb-tjg8k          0/1     PodInitializing    0             3s
payment-service-659659875-zpd8j         0/1     PodInitializing    0             4s
rewards-service-6b4b687997-pgcvd        0/1     Running            0             4s
wallet-service-68ff985b65-fqg7l         0/1     Error              3 (86s ago)   6m7s
admin-service-768bfccdbb-tjg8k          0/1     Running            0             5s
wallet-service-68ff985b65-fqg7l         0/1     Error              3 (86s ago)   6m7s
wallet-service-68ff985b65-fqg7l         0/1     Error              3 (86s ago)   6m7s
payment-service-659659875-zpd8j         0/1     Running            0             6s
wallet-service-cdf664586-v5gfd          0/1     Pending            0             0s
wallet-service-cdf664586-v5gfd          0/1     Pending            0             0s
wallet-service-cdf664586-v5gfd          0/1     Init:0/1           0             0s
wallet-service-cdf664586-v5gfd          0/1     Init:0/1           0             1s
wallet-service-cdf664586-v5gfd          0/1     PodInitializing    0             2s
wallet-service-cdf664586-v5gfd          0/1     Running            0             4s
transaction-service-fd77fcd6-gcsr9      0/1     Error              4 (97s ago)   6m18s
transaction-service-fd77fcd6-gcsr9      0/1     Error              4 (97s ago)   6m18s
transaction-service-fd77fcd6-gcsr9      0/1     Error              4 (97s ago)   6m18s
transaction-service-8cdc97998-7zcvk     0/1     Pending            0             0s
transaction-service-8cdc97998-7zcvk     0/1     Pending            0             0s
transaction-service-8cdc97998-7zcvk     0/1     Init:0/1           0             0s
notification-service-79fc5cd765-ssdfg   0/1     Error              3 (97s ago)   6m32s
kyc-service-7779dc9749-lzg78            0/1     Error              3 (76s ago)   6m31s
notification-service-79fc5cd765-ssdfg   0/1     Error              3 (98s ago)   6m33s
notification-service-79fc5cd765-ssdfg   0/1     Error              3 (98s ago)   6m33s
notification-service-758488686f-sw29v   0/1     Pending            0             0s
notification-service-758488686f-sw29v   0/1     Pending            0             0s
notification-service-758488686f-sw29v   0/1     Init:0/2           0             0s
kyc-service-7779dc9749-lzg78            0/1     Error              3 (77s ago)   6m32s
kyc-service-7779dc9749-lzg78            0/1     Error              3 (77s ago)   6m32s
kyc-service-684555864-nsfd8             0/1     Pending            0             0s
kyc-service-684555864-nsfd8             0/1     Pending            0             0s
kyc-service-684555864-nsfd8             0/1     Init:0/1           0             0s
transaction-service-8cdc97998-7zcvk     0/1     Init:0/1           0             16s
transaction-service-8cdc97998-7zcvk     0/1     PodInitializing    0             17s
kyc-service-684555864-nsfd8             0/1     Init:0/1           0             2s
notification-service-758488686f-sw29v   0/1     Init:1/2           0             2s
kyc-service-684555864-nsfd8             0/1     PodInitializing    0             3s
notification-service-758488686f-sw29v   0/1     PodInitializing    0             3s
transaction-service-8cdc97998-7zcvk     0/1     Running            0             19s
kyc-service-684555864-nsfd8             0/1     Running            0             5s
notification-service-758488686f-sw29v   0/1     Running            0             5s
rewards-service-6b4b687997-pgcvd        0/1     Error              0             47s
rewards-service-6b4b687997-pgcvd        0/1     Running            1 (3s ago)    49s
user-service-6c6fb6dfd5-w7kxd           0/1     Error              0             64s
user-service-6c6fb6dfd5-w7kxd           0/1     Running            1 (3s ago)    66s
rewards-service-6b4b687997-pgcvd        0/1     Error              1 (47s ago)   93s
rewards-service-6b4b687997-pgcvd        0/1     CrashLoopBackOff   1 (7s ago)    100s
payment-service-659659875-zpd8j         0/1     Error              0             103s
payment-service-659659875-zpd8j         0/1     Running            1 (2s ago)    105s
wallet-service-cdf664586-v5gfd          0/1     Error              0             99s
wallet-service-cdf664586-v5gfd          0/1     Running            1 (2s ago)    101s
admin-service-768bfccdbb-tjg8k          0/1     Error              0             108s
admin-service-768bfccdbb-tjg8k          0/1     Running            1 (3s ago)    110s
transaction-service-8cdc97998-7zcvk     0/1     Error              0             95s
transaction-service-8cdc97998-7zcvk     0/1     Running            1 (2s ago)    97s
user-service-6c6fb6dfd5-w7kxd           0/1     Error              1 (51s ago)   114s
rewards-service-6b4b687997-pgcvd        0/1     Running            2 (21s ago)   114s
user-service-6c6fb6dfd5-w7kxd           0/1     CrashLoopBackOff   1 (8s ago)    2m1s
kyc-service-684555864-nsfd8             0/1     Error              0             97s
kyc-service-684555864-nsfd8             0/1     Running            1 (3s ago)    99s
notification-service-758488686f-sw29v   0/1     Error              0             102s
user-service-6c6fb6dfd5-w7kxd           0/1     Running            2 (22s ago)   2m15s
notification-service-758488686f-sw29v   0/1     Running            1 (2s ago)    104s
rewards-service-6b4b687997-pgcvd        0/1     Error              2 (63s ago)   2m36s
rewards-service-6b4b687997-pgcvd        0/1     CrashLoopBackOff   2 (4s ago)    2m40s
payment-service-659659875-zpd8j         0/1     Error              1 (78s ago)   3m1s
transaction-service-8cdc97998-7zcvk     0/1     Error              1 (70s ago)   2m45s
wallet-service-cdf664586-v5gfd          0/1     Error              1 (78s ago)   2m57s
user-service-6c6fb6dfd5-w7kxd           0/1     Error              2 (72s ago)   3m5s
